Image,F1,Jaccard,Recall,Precision
347.png,0.9352517985611511,0.8783783783783784,0.9375,0.9330143540669856
247.png,0.8799102132435466,0.7855711422845691,0.9775561097256857,0.8
837.png,0.8072289156626506,0.6767676767676768,0.9178082191780822,0.7204301075268817
1225.png,0.8245931283905967,0.7015384615384616,0.7261146496815286,0.9539748953974896
1428.png,0.974630021141649,0.9505154639175257,0.9725738396624473,0.9766949152542372
2926.png,0.14186851211072662,0.07635009310986965,0.07635009310986965,1.0
1774.png,0.8758169934640523,0.7790697674418605,0.8226466575716235,0.9363354037267081
2107.png,0.9082853345148426,0.8319805194805194,0.9360730593607306,0.8820998278829604
552.png,0.9566148901981789,0.9168377823408624,0.9225206611570248,0.9933259176863182
925.png,0.7171129220023283,0.558983666061706,0.9418960244648318,0.5789473684210527
284.png,0.0,0.0,0.0,0.0
2780.png,0.0,0.0,0.0,0.0
860.png,0.8045593550180707,0.6730232558139535,0.684160756501182,0.9763832658569501
375.png,0.9795270031768444,0.9598754756139743,0.9907176008568368,0.9685863874345549
834.png,0.3440986494421609,0.2078014184397163,0.2092857142857143,0.966996699669967
2642.png,0.0,0.0,0.0,0.0
1375.png,0.8476454293628809,0.7355769230769231,0.9807692307692307,0.7463414634146341
681.png,0.9782005548949664,0.9573312645461598,0.9778129952456418,0.9785884218873909
384.png,0.97314453125,0.9476937708036138,0.9925298804780877,0.9545019157088123
2154.png,0.0,0.0,0.0,0.0
1657.png,0.9084745762711864,0.8322981366459627,0.8322981366459627,1.0
69.png,0.9472182596291012,0.8997289972899729,0.9837037037037037,0.9133425034387895
1568.png,0.9168539325842695,0.8464730290456431,0.9444444444444444,0.8908296943231441
222.png,0.973896830329397,0.949121744397335,0.961939840392879,0.9861548143486469
269.png,0.8845166809238665,0.7929447852760736,0.9736346516007532,0.8103448275862069
3041.png,0.0,0.0,0.0,0.0
1043.png,0.8791208791208791,0.7843137254901961,0.8032128514056225,0.970873786407767
2479.png,0.9105058365758755,0.8357142857142857,0.9,0.9212598425196851
2550.png,0.0,0.0,0.0,0.0
393.png,0.0,0.0,0.0,0.0
110.png,0.5683060109289618,0.3969465648854962,0.3974522292993631,0.9968051118210862
3033.png,0.518139534883721,0.34965473948524795,0.35038792199622565,0.9940511600237953
2233.png,0.4375340971085652,0.28002793296089384,0.6756529064869419,0.3235175473981444
2965.png,0.14350891746163416,0.0773011617515639,0.0773011617515639,1.0
581.png,0.9753617520531874,0.9519083969465649,0.9803459119496856,0.9704280155642023
1089.png,0.6470588235294118,0.4782608695652174,0.47871333964049195,0.9980276134122288
2627.png,0.0,0.0,0.0,0.0
1411.png,0.6498855835240275,0.48135593220338985,0.48135593220338985,1.0
244.png,0.9637155297532657,0.9299719887955182,0.9526542324246772,0.9750367107195301
2609.png,0.5312719606465215,0.3617224880382775,0.3617224880382775,1.0
855.png,0.9432063263838966,0.8925170068027211,0.9514140681653372,0.9351389878831077
